INFO  [2020-05-22 08:19:09,003] template.main.Main.main() -- template
DEBUG [2020-05-22 08:19:09,095] template.main.Main.main() -- awt.toolkit=sun.awt.X11.XToolkit
DEBUG [2020-05-22 08:19:09,096] template.main.Main.main() -- file.encoding=UTF-8
DEBUG [2020-05-22 08:19:09,096] template.main.Main.main() -- file.separator=/
DEBUG [2020-05-22 08:19:09,096] template.main.Main.main() -- java.awt.graphicsenv=sun.awt.X11GraphicsEnvironment
DEBUG [2020-05-22 08:19:09,096] template.main.Main.main() -- java.awt.printerjob=sun.print.PSPrinterJob
DEBUG [2020-05-22 08:19:09,096] template.main.Main.main() -- java.class.path=template.jar
DEBUG [2020-05-22 08:19:09,097] template.main.Main.main() -- java.class.version=55.0
DEBUG [2020-05-22 08:19:09,097] template.main.Main.main() -- java.home=/usr/lib/jvm/java-11-openjdk-amd64
DEBUG [2020-05-22 08:19:09,097] template.main.Main.main() -- java.io.tmpdir=/tmp
DEBUG [2020-05-22 08:19:09,097] template.main.Main.main() -- java.library.path=/usr/java/packages/lib:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
DEBUG [2020-05-22 08:19:09,097] template.main.Main.main() -- java.runtime.name=OpenJDK Runtime Environment
DEBUG [2020-05-22 08:19:09,097] template.main.Main.main() -- java.runtime.version=11.0.7+10-post-Ubuntu-3ubuntu1
DEBUG [2020-05-22 08:19:09,098] template.main.Main.main() -- java.specification.name=Java Platform API Specification
DEBUG [2020-05-22 08:19:09,098] template.main.Main.main() -- java.specification.vendor=Oracle Corporation
DEBUG [2020-05-22 08:19:09,098] template.main.Main.main() -- java.specification.version=11
DEBUG [2020-05-22 08:19:09,098] template.main.Main.main() -- java.vendor=Ubuntu
DEBUG [2020-05-22 08:19:09,098] template.main.Main.main() -- java.vendor.url=https://ubuntu.com/
DEBUG [2020-05-22 08:19:09,098] template.main.Main.main() -- java.vendor.url.bug=https://bugs.launchpad.net/ubuntu/+source/openjdk-lts
DEBUG [2020-05-22 08:19:09,099] template.main.Main.main() -- java.version=11.0.7
DEBUG [2020-05-22 08:19:09,099] template.main.Main.main() -- java.version.date=2020-04-14
DEBUG [2020-05-22 08:19:09,099] template.main.Main.main() -- java.vm.compressedOopsMode=32-bit
DEBUG [2020-05-22 08:19:09,099] template.main.Main.main() -- java.vm.info=mixed mode, sharing
DEBUG [2020-05-22 08:19:09,099] template.main.Main.main() -- java.vm.name=OpenJDK 64-Bit Server VM
DEBUG [2020-05-22 08:19:09,099] template.main.Main.main() -- java.vm.specification.name=Java Virtual Machine Specification
DEBUG [2020-05-22 08:19:09,099] template.main.Main.main() -- java.vm.specification.vendor=Oracle Corporation
DEBUG [2020-05-22 08:19:09,099] template.main.Main.main() -- java.vm.specification.version=11
DEBUG [2020-05-22 08:19:09,100] template.main.Main.main() -- java.vm.vendor=Ubuntu
DEBUG [2020-05-22 08:19:09,100] template.main.Main.main() -- java.vm.version=11.0.7+10-post-Ubuntu-3ubuntu1
DEBUG [2020-05-22 08:19:09,100] template.main.Main.main() -- jdk.debug=release
DEBUG [2020-05-22 08:19:09,100] template.main.Main.main() -- line.separator=

DEBUG [2020-05-22 08:19:09,100] template.main.Main.main() -- os.arch=amd64
DEBUG [2020-05-22 08:19:09,100] template.main.Main.main() -- os.name=Linux
DEBUG [2020-05-22 08:19:09,100] template.main.Main.main() -- os.version=5.4.0-31-generic
DEBUG [2020-05-22 08:19:09,101] template.main.Main.main() -- path.separator=:
DEBUG [2020-05-22 08:19:09,101] template.main.Main.main() -- sun.arch.data.model=64
DEBUG [2020-05-22 08:19:09,101] template.main.Main.main() -- sun.boot.library.path=/usr/lib/jvm/java-11-openjdk-amd64/lib
DEBUG [2020-05-22 08:19:09,101] template.main.Main.main() -- sun.cpu.endian=little
DEBUG [2020-05-22 08:19:09,101] template.main.Main.main() -- sun.cpu.isalist=
DEBUG [2020-05-22 08:19:09,101] template.main.Main.main() -- sun.desktop=gnome
DEBUG [2020-05-22 08:19:09,101] template.main.Main.main() -- sun.io.unicode.encoding=UnicodeLittle
DEBUG [2020-05-22 08:19:09,101] template.main.Main.main() -- sun.java.command=template.jar
DEBUG [2020-05-22 08:19:09,102] template.main.Main.main() -- sun.java.launcher=SUN_STANDARD
DEBUG [2020-05-22 08:19:09,102] template.main.Main.main() -- sun.jnu.encoding=UTF-8
DEBUG [2020-05-22 08:19:09,102] template.main.Main.main() -- sun.management.compiler=HotSpot 64-Bit Tiered Compilers
DEBUG [2020-05-22 08:19:09,102] template.main.Main.main() -- sun.os.patch.level=unknown
DEBUG [2020-05-22 08:19:09,103] template.main.Main.main() -- template.bar=2
DEBUG [2020-05-22 08:19:09,103] template.main.Main.main() -- template.baz=3
DEBUG [2020-05-22 08:19:09,104] template.main.Main.main() -- template.bom=4
DEBUG [2020-05-22 08:19:09,104] template.main.Main.main() -- template.foo=1
DEBUG [2020-05-22 08:19:09,104] template.main.Main.main() -- template[@x]=y
DEBUG [2020-05-22 08:19:09,104] template.main.Main.main() -- user.country=GB
DEBUG [2020-05-22 08:19:09,104] template.main.Main.main() -- user.dir=/home/stuart/code/template
DEBUG [2020-05-22 08:19:09,105] template.main.Main.main() -- user.home=/home/stuart
DEBUG [2020-05-22 08:19:09,105] template.main.Main.main() -- user.language=en
DEBUG [2020-05-22 08:19:09,105] template.main.Main.main() -- user.name=stuart
DEBUG [2020-05-22 08:19:09,105] template.main.Main.main() -- user.timezone=Europe/London
